 [CC] 1.6mA

[Hour Passed(Hrs)],[Time(HH:MM:SS)],[Voltage(V)],[Current(mA)],[Photo Current(uA)],[Relative Luminance(%)]
39.011,01/28/2026 03:11:14,4.15395,1.60003,37.093,97.743
40.011,01/28/2026 04:11:14,4.15456,1.60007,37.100,97.761
41.011,01/28/2026 05:11:13,4.15515,1.60006,37.098,97.756
42.011,01/28/2026 06:11:15,4.15577,1.60007,37.077,97.701
43.011,01/28/2026 07:11:15,4.15634,1.60007,37.068,97.677
44.010,01/28/2026 08:11:12,4.15681,1.60005,37.072,97.688
45.011,01/28/2026 09:11:15,4.15729,1.60005,37.051,97.634
46.010,01/28/2026 10:11:13,4.15773,1.60007,37.012,97.531
47.010,01/28/2026 11:11:12,4.15737,1.60002,37.006,97.515
48.011,01/28/2026 12:11:15,4.15735,1.60007,37.002,97.505
49.011,01/28/2026 13:11:14,4.15751,1.60003,36.991,97.475
50.010,01/28/2026 14:11:12,4.15775,1.60004,36.968,97.414
51.011,01/28/2026 15:11:14,4.15793,1.60006,36.936,97.330
52.011,01/28/2026 16:11:14,4.15849,1.60004,36.918,97.282
53.010,01/28/2026 17:11:13,4.16038,1.60008,36.898,97.231
54.010,01/28/2026 18:11:12,4.16083,1.60008,36.933,97.323
55.011,01/28/2026 19:11:14,4.16161,1.60010,36.912,97.266
56.011,01/28/2026 20:11:14,4.16159,1.60004,36.859,97.128
57.010,01/28/2026 21:11:12,4.16139,1.60003,36.867,97.148
58.010,01/28/2026 22:11:13,4.16169,1.60004,36.841,97.081
59.010,01/28/2026 23:11:12,4.16200,1.60004,36.843,97.086
60.011,01/29/2026 00:11:14,4.16238,1.60005,36.833,97.059
61.010,01/29/2026 01:11:13,4.16282,1.60006,36.806,96.989
62.010,01/29/2026 02:11:13,4.16310,1.60007,36.810,96.999
63.010,01/29/2026 03:11:13,4.16354,1.60006,36.801,96.975
64.011,01/29/2026 04:11:15,4.16390,1.60007,36.753,96.847
65.010,01/29/2026 05:11:13,4.16418,1.60005,36.780,96.918
66.011,01/29/2026 06:11:15,4.16465,1.60007,36.747,96.833
67.011,01/29/2026 07:11:14,4.16526,1.60006,36.733,96.795
68.010,01/29/2026 08:11:12,4.16572,1.60011,36.735,96.800
69.010,01/29/2026 09:11:13,4.16617,1.60010,36.708,96.729
70.011,01/29/2026 10:11:15,4.16627,1.60004,36.699,96.705
71.010,01/29/2026 11:11:11,4.16643,1.60005,36.673,96.637
72.010,01/29/2026 12:11:12,4.16659,1.60006,36.685,96.669
73.011,01/29/2026 13:11:14,4.16685,1.60007,36.670,96.629
74.010,01/29/2026 14:11:11,4.16703,1.60006,36.660,96.604
75.010,01/29/2026 15:11:12,4.16740,1.60008,36.645,96.563
76.010,01/29/2026 16:11:12,4.16796,1.60008,36.648,96.571
77.011,01/29/2026 17:11:14,4.16810,1.60006,36.627,96.515
78.011,01/29/2026 18:11:16,4.16859,1.60004,36.600,96.446
79.010,01/29/2026 19:11:11,4.16900,1.60004,36.594,96.428
80.010,01/29/2026 20:11:13,4.16960,1.60008,36.581,96.394
81.010,01/29/2026 21:11:13,4.16961,1.60003,36.531,96.263
82.011,01/29/2026 22:11:14,4.16985,1.60008,36.561,96.343
83.011,01/29/2026 23:11:15,4.17001,1.60005,36.564,96.349
84.010,01/30/2026 00:11:12,4.17032,1.60003,36.533,96.267
85.011,01/30/2026 01:11:13,4.17053,1.60005,36.491,96.158
86.011,01/30/2026 02:11:14,4.17091,1.60007,36.509,96.204
87.010,01/30/2026 03:11:11,4.17136,1.60009,36.494,96.165
88.010,01/30/2026 04:11:12,4.17169,1.60006,36.454,96.060
89.010,01/30/2026 05:11:13,4.17227,1.60006,36.473,96.110
90.011,01/30/2026 06:11:14,4.17272,1.60007,36.484,96.138
91.011,01/30/2026 07:11:15,4.17317,1.60006,36.445,96.036
92.010,01/30/2026 08:11:12,4.17346,1.60008,36.460,96.076
93.010,01/30/2026 09:11:12,4.17381,1.60007,36.425,95.984
94.011,01/30/2026 10:11:15,4.17413,1.60007,36.420,95.970
95.010,01/30/2026 11:11:12,4.17433,1.60010,36.370,95.840
96.011,01/30/2026 12:11:14,4.17482,1.60008,36.361,95.814
97.011,01/30/2026 13:11:15,4.17509,1.60008,36.392,95.897
98.010,01/30/2026 14:11:12,4.17585,1.60013,36.340,95.760
99.010,01/30/2026 15:11:13,4.17591,1.60006,36.344,95.769
100.011,01/30/2026 16:11:15,4.17641,1.60005,36.362,95.819
101.010,01/30/2026 17:11:12,4.17666,1.60011,36.323,95.715
102.011,01/30/2026 18:11:14,4.17705,1.60006,36.332,95.738
103.010,01/30/2026 19:11:11,4.17758,1.60006,36.311,95.683
104.010,01/30/2026 20:11:13,4.17806,1.60013,36.309,95.679
105.011,01/30/2026 21:11:14,4.17828,1.60012,36.278,95.596
106.011,01/30/2026 22:11:15,4.17853,1.60010,36.285,95.614
107.010,01/30/2026 23:11:13,4.17906,1.60007,36.270,95.575
108.011,01/31/2026 00:11:14,4.17936,1.60010,36.279,95.600
109.011,01/31/2026 01:11:16,4.17950,1.60009,36.252,95.529
110.011,01/31/2026 02:11:13,4.17993,1.60008,36.234,95.480
111.011,01/31/2026 03:11:15,4.18042,1.60008,36.234,95.480
112.011,01/31/2026 04:11:14,4.18064,1.60007,36.203,95.399
113.010,01/31/2026 05:11:12,4.18109,1.60010,36.219,95.440
114.011,01/31/2026 06:11:16,4.18156,1.60010,36.206,95.407
115.011,01/31/2026 07:11:15,4.18207,1.60012,36.181,95.342
116.011,01/31/2026 08:11:15,4.18234,1.60010,36.196,95.379
117.010,01/31/2026 09:11:12,4.18262,1.60011,36.164,95.297
118.011,01/31/2026 10:11:14,4.18263,1.60016,36.146,95.248
119.010,01/31/2026 11:11:12,4.18267,1.60009,36.132,95.212
120.011,01/31/2026 12:11:13,4.18250,1.60010,36.114,95.164
121.012,01/31/2026 13:11:17,4.18263,1.60009,36.123,95.187
122.010,01/31/2026 14:11:12,4.18247,1.60012,36.111,95.157
123.011,01/31/2026 15:11:14,4.18249,1.60008,36.097,95.119
124.010,01/31/2026 16:11:11,4.18267,1.60004,36.083,95.082
125.010,01/31/2026 17:11:13,4.18269,1.60008,36.074,95.059
126.011,01/31/2026 18:11:14,4.18327,1.60004,36.076,95.064
127.010,01/31/2026 19:11:11,4.18351,1.60005,36.054,95.005
128.011,01/31/2026 20:11:16,4.18374,1.60007,36.026,94.932
129.010,01/31/2026 21:11:13,4.18430,1.60010,36.015,94.903
130.011,01/31/2026 22:11:15,4.18460,1.60004,36.009,94.888
131.010,01/31/2026 23:11:12,4.18505,1.60009,35.981,94.813
132.011,02/01/2026 00:11:14,4.18536,1.60005,35.986,94.826
133.010,02/01/2026 01:11:11,4.18548,1.60009,35.972,94.791
134.010,02/01/2026 02:11:13,4.18586,1.60007,35.955,94.745
135.011,02/01/2026 03:11:15,4.18618,1.60007,35.944,94.717
136.010,02/01/2026 04:11:12,4.18655,1.60010,35.934,94.690
137.010,02/01/2026 05:11:13,4.18703,1.60006,35.950,94.732
138.011,02/01/2026 06:11:15,4.18736,1.60005,35.945,94.718
139.010,02/01/2026 07:11:12,4.18760,1.60007,35.912,94.632
140.011,02/01/2026 08:11:17,4.18790,1.60006,35.884,94.557
141.010,02/01/2026 09:11:12,4.18849,1.60010,35.911,94.630
142.010,02/01/2026 10:11:13,4.18865,1.60008,35.878,94.543
143.011,02/01/2026 11:11:15,4.18861,1.60004,35.886,94.564
144.010,02/01/2026 12:11:11,4.18859,1.60006,35.857,94.486
145.010,02/01/2026 13:11:13,4.18853,1.60006,35.863,94.503
146.011,02/01/2026 14:11:14,4.18869,1.60004,35.832,94.421
147.010,02/01/2026 15:11:11,4.18875,1.60007,35.855,94.481
148.010,02/01/2026 16:11:13,4.18896,1.60008,35.794,94.320
149.011,02/01/2026 17:11:14,4.18935,1.60005,35.800,94.337
150.010,02/01/2026 18:11:12,4.18956,1.60006,35.778,94.280
151.010,02/01/2026 19:11:13,4.18994,1.60007,35.787,94.301
152.012,02/01/2026 20:11:17,4.19039,1.60004,35.779,94.281
153.010,02/01/2026 21:11:12,4.19075,1.60006,35.779,94.283
154.011,02/01/2026 22:11:16,4.19107,1.60009,35.773,94.265
155.011,02/01/2026 23:11:13,4.19155,1.60008,35.722,94.132
156.011,02/02/2026 00:11:15,4.19175,1.60007,35.734,94.163
157.010,02/02/2026 01:11:12,4.19201,1.60009,35.732,94.158
158.011,02/02/2026 02:11:14,4.19250,1.60006,35.697,94.066
159.010,02/02/2026 03:11:11,4.19280,1.60012,35.695,94.061
160.010,02/02/2026 04:11:12,4.19295,1.60008,35.687,94.038
161.011,02/02/2026 05:11:13,4.19309,1.60008,35.660,93.967
162.011,02/02/2026 06:11:15,4.19344,1.60005,35.669,93.992
163.010,02/02/2026 07:11:13,4.19372,1.60009,35.647,93.935
164.011,02/02/2026 08:11:15,4.19412,1.60008,35.630,93.889
165.011,02/02/2026 09:11:15,4.19441,1.60009,35.635,93.903
166.010,02/02/2026 10:11:13,4.19459,1.60008,35.630,93.888
167.011,02/02/2026 11:11:15,4.19480,1.60007,35.621,93.865
168.010,02/02/2026 12:11:11,4.19491,1.60007,35.581,93.759
169.011,02/02/2026 13:11:14,4.19510,1.60007,35.614,93.847
170.011,02/02/2026 14:11:14,4.19508,1.60005,35.595,93.795
171.010,02/02/2026 15:11:11,4.19548,1.60007,35.586,93.773
172.010,02/02/2026 16:11:12,4.19575,1.60009,35.555,93.690
173.010,02/02/2026 17:11:13,4.19604,1.60006,35.536,93.642
174.011,02/02/2026 18:11:14,4.19668,1.60005,35.535,93.637
175.011,02/02/2026 19:11:14,4.19722,1.60008,35.536,93.640
176.011,02/02/2026 20:11:15,4.19757,1.60006,35.525,93.613
177.010,02/02/2026 21:11:12,4.19799,1.60007,35.524,93.609
178.010,02/02/2026 22:11:13,4.19824,1.60008,35.509,93.569
179.011,02/02/2026 23:11:14,4.19847,1.60010,35.493,93.528
180.011,02/03/2026 00:11:15,4.19887,1.60011,35.507,93.564
181.010,02/03/2026 01:11:12,4.19923,1.60011,35.454,93.424
182.010,02/03/2026 02:11:13,4.19970,1.60008,35.491,93.523
183.011,02/03/2026 03:11:13,4.19981,1.60008,35.454,93.425
184.011,02/03/2026 04:11:15,4.20011,1.60008,35.441,93.392
185.010,02/03/2026 05:11:11,4.20048,1.60007,35.453,93.421
186.010,02/03/2026 06:11:13,4.20094,1.60009,35.456,93.431
187.010,02/03/2026 07:11:13,4.20127,1.60008,35.426,93.351
188.010,02/03/2026 08:11:12,4.20147,1.60007,35.406,93.300
189.010,02/03/2026 09:11:13,4.20183,1.60007,35.379,93.227
190.011,02/03/2026 10:11:13,4.20135,1.60007,35.390,93.256
191.011,02/03/2026 11:11:15,4.20125,1.60007,35.351,93.153
192.010,02/03/2026 12:11:13,4.20129,1.60006,35.359,93.175
193.011,02/03/2026 13:11:13,4.20250,1.60011,35.373,93.210
194.011,02/03/2026 14:11:15,4.20283,1.60008,35.370,93.203
195.010,02/03/2026 15:11:12,4.20307,1.60008,35.323,93.079
196.011,02/03/2026 16:11:14,4.20485,1.60008,35.348,93.146
197.011,02/03/2026 17:11:16,4.20394,1.60008,35.283,92.975
198.011,02/03/2026 18:11:14,4.20470,1.60014,35.300,93.020
199.010,02/03/2026 19:11:12,4.20454,1.60008,35.314,93.057
200.011,02/03/2026 20:11:14,4.20439,1.60007,35.283,92.974
201.010,02/03/2026 21:11:11,4.20423,1.60007,35.284,92.976
202.011,02/03/2026 22:11:14,4.20414,1.60006,35.269,92.937
203.010,02/03/2026 23:11:12,4.20414,1.60006,35.252,92.894
204.011,02/04/2026 00:11:14,4.20423,1.60003,35.250,92.887
205.010,02/04/2026 01:11:12,4.20436,1.60006,35.234,92.847
206.011,02/04/2026 02:11:15,4.20458,1.60006,35.234,92.846
207.010,02/04/2026 03:11:12,4.20467,1.60003,35.202,92.760
208.010,02/04/2026 04:11:11,4.20503,1.60001,35.217,92.799
209.010,02/04/2026 05:11:13,4.20537,1.60006,35.163,92.657
210.010,02/04/2026 06:11:11,4.20604,1.60007,35.175,92.689
211.010,02/04/2026 07:11:13,4.20723,1.60008,35.180,92.703
