 [CC] 1.6mA,,,,,
,,,,,
[Hour Passed(Hrs)],[Time(HH:MM:SS)],[Voltage(V)],[Current(mA)],[Photo Current(uA)],[Relative Luminance(%)]
27.01,01/30/2026 18:47:44,4.15691,1.6002,37.847,98.301
28.01,01/30/2026 19:47:45,4.15768,1.60023,37.833,98.263
29.011,01/30/2026 20:47:46,4.15801,1.60023,37.779,98.123
30.011,01/30/2026 21:47:47,4.15864,1.60023,37.803,98.187
31.01,01/30/2026 22:47:45,4.15912,1.60019,37.776,98.115
32.01,01/30/2026 23:47:44,4.15963,1.60025,37.762,98.079
33.011,01/31/2026 00:47:46,4.16011,1.6002,37.749,98.047
34.01,01/31/2026 01:47:43,4.16065,1.60018,37.735,98.008
35.011,01/31/2026 02:47:47,4.16118,1.60023,37.719,97.967
36.011,01/31/2026 03:47:46,4.16161,1.60024,37.696,97.907
37.01,01/31/2026 04:47:43,4.16202,1.60028,37.683,97.874
38.011,01/31/2026 05:47:48,4.16251,1.60033,37.683,97.874
39.011,01/31/2026 06:47:47,4.16312,1.60032,37.667,97.832
40.01,01/31/2026 07:47:45,4.16386,1.6004,37.659,97.813
41.01,01/31/2026 08:47:44,4.16425,1.60035,37.637,97.756
42.011,01/31/2026 09:47:46,4.16474,1.60034,37.633,97.744
43.01,01/31/2026 10:47:44,4.1649,1.60025,37.604,97.669
44.01,01/31/2026 11:47:45,4.16495,1.60019,37.593,97.641
45.01,01/31/2026 12:47:43,4.16518,1.60015,37.601,97.662
46.01,01/31/2026 13:47:44,4.16528,1.60007,37.563,97.564
47.011,01/31/2026 14:47:46,4.16527,1.60004,37.549,97.527
48.01,01/31/2026 15:47:43,4.16545,1.59998,37.527,97.47
49.011,01/31/2026 16:47:47,4.16575,1.59994,37.504,97.409
50.011,01/31/2026 17:47:46,4.16612,1.6,37.509,97.423
51.01,01/31/2026 18:47:43,4.16648,1.60002,37.501,97.401
52.011,01/31/2026 19:47:46,4.16689,1.6,37.47,97.322
53.01,01/31/2026 20:47:45,4.16714,1.60002,37.449,97.266
54.011,01/31/2026 21:47:47,4.16798,1.60003,37.456,97.284
55.01,01/31/2026 22:47:45,4.16845,1.60003,37.438,97.238
56.011,01/31/2026 23:47:46,4.16883,1.60004,37.422,97.196
57.01,02/01/2026 00:47:44,4.16919,1.6001,37.399,97.137
58.01,02/01/2026 01:47:45,4.16954,1.60005,37.389,97.11
59.011,02/01/2026 02:47:47,4.16994,1.60012,37.396,97.128
60.01,02/01/2026 03:47:44,4.17034,1.60011,37.389,97.11
61.011,02/01/2026 04:47:46,4.17052,1.60008,37.332,96.963
62.011,02/01/2026 05:47:47,4.17113,1.60012,37.328,96.951
63.01,02/01/2026 06:47:44,4.17141,1.60011,37.335,96.971
64.011,02/01/2026 07:47:46,4.17175,1.60014,37.318,96.926
65.01,02/01/2026 08:47:44,4.17227,1.6002,37.304,96.89
66.011,02/01/2026 09:47:46,4.17249,1.60015,37.287,96.847
67.011,02/01/2026 10:47:46,4.17281,1.60007,37.275,96.816
68.01,02/01/2026 11:47:44,4.17299,1.60007,37.251,96.751
69.01,02/01/2026 12:47:45,4.17296,1.60003,37.256,96.766
70.011,02/01/2026 13:47:47,4.17305,1.59998,37.234,96.707
71.01,02/01/2026 14:47:44,4.17327,1.59997,37.217,96.663
72.01,02/01/2026 15:47:45,4.17341,1.59993,37.201,96.623
73.011,02/01/2026 16:47:46,4.17383,1.59992,37.192,96.6
74.01,02/01/2026 17:47:44,4.17423,1.5999,37.171,96.544
75.01,02/01/2026 18:47:45,4.17454,1.59991,37.156,96.506
76.011,02/01/2026 19:47:47,4.17496,1.59994,37.162,96.521
77.01,02/01/2026 20:47:44,4.17553,1.59993,37.141,96.468
78.011,02/01/2026 21:47:46,4.17574,1.59995,37.132,96.442
79.01,02/01/2026 22:47:43,4.17636,1.60001,37.122,96.416
80.011,02/01/2026 23:47:47,4.17663,1.60003,37.081,96.311
81.01,02/02/2026 00:47:44,4.17677,1.59998,37.066,96.271
82.011,02/02/2026 01:47:46,4.17727,1.6,37.083,96.316
83.01,02/02/2026 02:47:43,4.17787,1.59998,37.062,96.262
84.01,02/02/2026 03:47:45,4.17799,1.59997,37.048,96.226
85.01,02/02/2026 04:47:43,4.17796,1.59999,37.029,96.176
86.011,02/02/2026 05:47:47,4.17833,1.59998,37.008,96.121
87.01,02/02/2026 06:47:45,4.17902,1.59999,37.016,96.143
88.011,02/02/2026 07:47:47,4.17936,1.60001,37.021,96.154
89.01,02/02/2026 08:47:44,4.1797,1.60002,36.98,96.048
90.012,02/02/2026 09:47:49,4.17997,1.6,36.974,96.034
91.011,02/02/2026 10:47:47,4.18027,1.59996,36.97,96.023
92.011,02/02/2026 11:47:48,4.18009,1.59994,36.924,95.903
93.011,02/02/2026 12:47:46,4.18048,1.59994,36.929,95.917
94.01,02/02/2026 13:47:43,4.18054,1.5999,36.912,95.872
95.011,02/02/2026 14:47:46,4.18083,1.59991,36.904,95.851
96.01,02/02/2026 15:47:44,4.18114,1.59993,36.879,95.786
97.01,02/02/2026 16:47:45,4.18161,1.59994,36.904,95.85
98.011,02/02/2026 17:47:46,4.18219,1.59995,36.857,95.73
99.01,02/02/2026 18:47:43,4.18279,1.60002,36.894,95.826
100.01,02/02/2026 19:47:44,4.18328,1.60004,36.863,95.745
101.011,02/02/2026 20:47:47,4.18359,1.60006,36.826,95.648
102.011,02/02/2026 21:47:46,4.18403,1.60012,36.838,95.68
103.011,02/02/2026 22:47:47,4.18431,1.60011,36.834,95.669
104.011,02/02/2026 23:47:47,4.18486,1.60012,36.813,95.616
105.01,02/03/2026 00:47:44,4.18549,1.60018,36.824,95.643
106.01,02/03/2026 01:47:45,4.1859,1.60017,36.814,95.616
107.011,02/03/2026 02:47:45,4.18603,1.60013,36.792,95.561
108.011,02/03/2026 03:47:46,4.18634,1.60014,36.8,95.582
109.01,02/03/2026 04:47:44,4.18643,1.60017,36.75,95.45
110.01,02/03/2026 05:47:45,4.18676,1.6002,36.737,95.418
111.011,02/03/2026 06:47:45,4.18717,1.60022,36.732,95.404
112.011,02/03/2026 07:47:46,4.18744,1.60017,36.725,95.386
